epsilon,delta_target,clip_bound,sensitivity,sigma,noise_multiplier,achieved_delta,log_achieved_delta
0.5,1e-06,1.000001,2.000002,16.1152530766871,8.05761848072507,9.99999999999974e-07,-13.8155105579643
1.0,1e-06,1.000001,2.000002,8.449366228011328,4.224678889326775,1.0000000000003007e-06,-13.815510557963973
2.0,1e-06,1.000001,2.000002,4.460957003325374,2.2304762711864163,1.0000000000000112e-06,-13.815510557964263
4.0,1e-06,1.000001,2.000002,2.3870395613531454,1.1935185871579856,9.99999999999995e-07,-13.815510557964279
8.0,1e-06,1.000001,2.000002,1.3058720745872001,0.6529353843582157,1.0000000000000412e-06,-13.815510557964233
16.0,1e-06,1.000001,2.000002,0.73722405290227,0.3686116578394772,9.999999999995813e-07,-13.815510557964693
32.0,1e-06,1.000001,2.000002,0.43237492535347166,0.21618724648948937,1.00000000000002e-06,-13.815510557964254
64.0,1e-06,1.000001,2.000002,0.26380843334171206,0.13190408476677126,9.999999999999987e-07,-13.815510557964275
128.0,1e-06,1.000001,2.000002,0.16683264581484528,0.08341623949118315,1.0000000000000004e-06,-13.815510557964274
256.0,1e-06,1.000001,2.000002,0.10865852949393662,0.054329210417757894,9.999999999976734e-07,-13.8155105579666
512.0,1e-06,1.000001,2.000002,0.0723951243591535,0.036197525982050775,1.00000000001122e-06,-13.815510557953054
1024.0,1e-06,1.000001,2.000002,0.049054348512207455,0.024527149728954,1.0000000000007555e-06,-13.815510557963519
2048.0,1e-06,1.000001,2.000002,0.03364862959799442,0.016824297974699236,9.999999999999597e-07,-13.815510557964314
4096.0,1e-06,1.000001,2.000002,0.023285155746839942,0.01164256623085374,9.999999999934564e-07,-13.815510557970818
8192.0,1e-06,1.000001,2.000002,0.01621503157066274,0.008107507677823693,9.99999999999734e-07,-13.81551055796454
16384.0,1e-06,1.000001,2.000002,0.011342138868479306,0.00567106376317589,9.99999999886143e-07,-13.815510558078131
32768.0,1e-06,1.000001,2.000002,0.007958795070825649,0.003979393556019268,1.0000000000025017e-06,-13.815510557961773
