rotation_seed,known_pairs,reference_size_with_overlap,reference_size_disjoint,overlap_recall_at_1,overlap_recall_at_10,overlap_top1_token_jaccard,disjoint_top1_token_jaccard,mean_cosine_to_projected,relative_l2_error
11,0,100500,100000,0.0,0.0,0.005891219436300844,0.005891219436300844,-0.006578255910426378,1.4187275171279907
11,10,100500,100000,0.0,0.008,0.00785252890750377,0.007832120744238462,0.09913709759712219,1.3422284126281738
11,25,100500,100000,0.038,0.128,0.04839971306739282,0.010850290463533217,0.21444866061210632,1.2530291080474854
11,50,100500,100000,0.572,0.814,0.5795380599846515,0.017966290043105786,0.37730780243873596,1.1155548095703125
11,100,100500,100000,0.998,1.0,0.9986938775510205,0.03280699874421778,0.62689208984375,0.8630009293556213
11,192,100500,100000,1.0,1.0,1.0,0.04261975341943936,1.0,1.4635800653195474e-05
11,500,100500,100000,1.0,1.0,1.0,0.04261975341943936,1.0,4.857674298364145e-07
11,1000,100500,100000,1.0,1.0,1.0,0.04261975341943936,1.0,4.432194486980734e-07
23,0,100500,100000,0.0,0.0,0.006071533758885872,0.006121533758885873,0.0016036710003390908,1.4132654666900635
23,10,100500,100000,0.0,0.014,0.00962055842883892,0.00962055842883892,0.1062212809920311,1.336663842201233
23,25,100500,100000,0.062,0.164,0.0729827839243709,0.011928491173718612,0.22802945971488953,1.241937518119812
23,50,100500,100000,0.5,0.79,0.5091420631834273,0.0179343579327745,0.3760814964771271,1.1165486574172974
23,100,100500,100000,1.0,1.0,1.0,0.03520204257535855,0.6308075785636902,0.8586984276771545
23,192,100500,100000,1.0,1.0,1.0,0.04261975341943936,1.0,9.391626008437015e-06
23,500,100500,100000,1.0,1.0,1.0,0.04261975341943936,1.0,4.821960715162277e-07
23,1000,100500,100000,1.0,1.0,1.0,0.04261975341943936,1.0,4.4663977405434707e-07
31,0,100500,100000,0.0,0.0,0.005956841307202749,0.005956841307202749,-0.011140994727611542,1.4221469163894653
31,10,100500,100000,0.0,0.012,0.009748507566451766,0.0097068408997851,0.10358788818120956,1.3386807441711426
31,25,100500,100000,0.03,0.122,0.04197706881826214,0.012503651755149068,0.22106188535690308,1.24763822555542
31,50,100500,100000,0.526,0.778,0.5336789517832089,0.018406922271128022,0.37436577677726746,1.1179730892181396
31,100,100500,100000,0.998,1.0,0.9997777777777779,0.03304993883245267,0.6285144090652466,0.8610732555389404
31,192,100500,100000,1.0,1.0,1.0,0.04261975341943936,1.0,1.5326853826991282e-05
31,500,100500,100000,1.0,1.0,1.0,0.04261975341943936,1.0,4.811999474441109e-07
31,1000,100500,100000,1.0,1.0,1.0,0.04261975341943936,1.0,4.429979014730634e-07
47,0,100500,100000,0.0,0.0,0.006299730370380387,0.006258493256978324,-0.004376571159809828,1.4175686836242676
47,10,100500,100000,0.0,0.008,0.008349945177444475,0.008438132331218382,0.1081770658493042,1.3351399898529053
47,25,100500,100000,0.038,0.124,0.04901906314650746,0.011865618330377995,0.2204226404428482,1.2482450008392334
47,50,100500,100000,0.544,0.764,0.5525199127829008,0.017836415949798717,0.3716610074043274,1.1201921701431274
47,100,100500,100000,0.998,1.0,0.9992105263157894,0.03450533332738587,0.6236012578010559,0.8667826652526855
47,192,100500,100000,1.0,1.0,1.0,0.04261975341943936,1.0,1.1601217920542695e-05
47,500,100500,100000,1.0,1.0,1.0,0.04261975341943936,1.0,4.863561571255559e-07
47,1000,100500,100000,1.0,1.0,1.0,0.04261975341943936,1.0,4.455522457647021e-07
53,0,100500,100000,0.0,0.0,0.005500232276601211,0.005500232276601211,-0.003361051669344306,1.4165513515472412
53,10,100500,100000,0.0,0.004,0.009058454317043513,0.009058454317043513,0.10297849774360657,1.3386868238449097
53,25,100500,100000,0.05,0.122,0.06273537538648193,0.01340150916939173,0.22149965167045593,1.2474839687347412
53,50,100500,100000,0.532,0.776,0.5398562419564755,0.017659182135274235,0.37601539492607117,1.1169993877410889
53,100,100500,100000,0.998,1.0,0.9990232558139535,0.03271219201442093,0.6320127248764038,0.8576970100402832
53,192,100500,100000,1.0,1.0,1.0,0.04261975341943936,1.0,2.5764835299924016e-05
53,500,100500,100000,1.0,1.0,1.0,0.04261975341943936,1.0,4.867013672082976e-07
53,1000,100500,100000,1.0,1.0,1.0,0.04261975341943936,1.0,4.4638406393460173e-07
